Name,Obsmjd,Flux,Type,Distance (Mpc),ExpMJD,dt,L_nu,status,classification
SN2003ie,53258,0.166,IIP,13.7,52901,357,3.73E+25,real,
SN2003ie,54873,0.171,IIP,13.7,52901,1972,3.84E+25,real,
SN2004A,53025,0.163,IIP,17,53010,15,5.64E+25,real,
SN2004A,53033,0.442,IIP,17,53010,23,1.53E+26,real,
SN2004A,53039,0.188,IIP,17,53010,29,6.50E+25,real,
SN2004A,53085,0.152,IIP,17,53010,75,5.26E+25,real,
SN2004A,53117,0.211,IIP,17,53010,107,7.30E+25,real,
SN2004A,53138,0.194,IIP,17,53010,128,6.71E+25,real,
SN2004C,53043,2.154,Ic,32.6,52996,47,2.74E+27,real,
SN2004C,54919,0.71,Ic,32.6,52996,1923,9.03E+26,real,
SN2004am,52957,0.34,IIP,3.8,52950,7,5.87E+24,real,
SN2004am,52957,1,IIP,3.8,52950,7,1.73E+25,real,
SN2004am,53258,2.529,IIP,3.8,52950,308,4.37E+25,real,
SN2004am,53258,3.039,IIP,3.8,52950,308,5.25E+25,real,
SN2004am,53283,0.996,IIP,3.8,52950,333,1.72E+25,real,
SN2004et,53278,0.291,IIP,5.6,53270,8,1.09E+25,real,
SN2004et,53283,0.341,IIP,5.6,53270,13,1.28E+25,real,
SN2004et,53283,0.33,IIP,5.6,53270,13,1.24E+25,real,
SN2004et,53285,0.641,IIP,5.6,53270,15,2.41E+25,real,
SN2004et,53290,1.091,IIP,5.6,53270,20,4.09E+25,real,
SN2004et,53301,1.316,IIP,5.6,53270,31,4.94E+25,real,
SN2004et,53308,1.866,IIP,5.6,53270,38,7.00E+25,real,
SN2004et,53315,1.993,IIP,5.6,53270,45,7.48E+25,real,
SN2004et,53330,1.798,IIP,5.6,53270,60,6.75E+25,real,
SN2004et,53339,1.919,IIP,5.6,53270,69,7.20E+25,real,
SN2004et,53349,1.771,IIP,5.6,53270,79,6.65E+25,real,
SN2004et,53408,1.081,IIP,5.6,53270,138,4.06E+25,real,
SN2004et,53421,1.23,IIP,5.6,53270,151,4.62E+25,real,
SN2005U,53409,0.3,IIb,53.1,53398,11,1.01E+27,real,
SN2005U,53534,1,IIb,53.1,53398,136,3.37E+27,real,
SN2005ay,53475,0.082,IIP,12.7,53450,25,1.58E+25,real,
SN2005ay,53534,0.188,IIP,12.7,53450,84,3.63E+25,real,
SN2005ay,53556,0.12,IIP,12.7,53450,106,2.32E+25,real,
SN2005ay,53800,0.12,IIP,12.7,53450,350,2.32E+25,real,
SN2005dl,53828,0.521,II,20.4,53607,221,2.59E+26,real,
SN2005dl,57648,0.033,II,20.4,53607,4041,1.64E+25,real,
SN2005kd,53695,0.454,IIn,69.4,53684,11,2.62E+27,real,
SN2005kd,53695,1.011,IIn,69.4,53684,11,5.83E+27,real,
SN2005kd,53725,0.362,IIn,69.4,53684,41,2.09E+27,real,
SN2005kd,53725,0.99,IIn,69.4,53684,41,5.71E+27,real,
SN2005kd,54371,0.16,IIn,69.4,53684,687,9.22E+26,real,
SN2006bp,53843,0.11,IIP,16.6,53834,9,3.63E+25,real,
SN2006bp,53843,0.217,IIP,16.6,53834,9,7.15E+25,real,
SN2006bp,53843,0.498,IIP,16.6,53834,9,1.64E+26,real,
SN2006bp,54003,0.12,IIP,16.6,53834,169,3.96E+25,real,
SN2006my,54051,0.441,IIP,16.5,53948,103,1.44E+26,real,
SN2006my,54052,1.5,IIP,16.5,53948,104,4.89E+26,real,
SN2006my,54052,2.1,IIP,16.5,53948,104,6.84E+26,real,
SN2006my,54874,0.423,IIP,16.5,53948,926,1.38E+26,real,
SN2006ov,54068,0.396,IIP,14.6,54034,34,1.01E+26,real,
SN2006ov,54068,0.138,IIP,14.6,54034,34,3.52E+25,real,
SN2006ov,54074,0.287,IIP,14.6,54034,40,7.32E+25,real,
SN2006ov,54831,0.32,IIP,14.6,54034,797,8.16E+25,real,
SN2007C,54111,0.825,Ib,22.7,54097,14,5.09E+26,real,
SN2007C,54139,0.25,Ib,22.7,54097,42,1.54E+26,real,
SN2008ax,54532,1.19,IIb,6.2,54528,4,5.47E+25,real,
SN2008ax,54532,5.802,IIb,6.2,54528,4,2.67E+26,real,
SN2008ax,54535,3.94,IIb,6.2,54528,7,1.81E+26,real,
SN2008ax,54535,6.742,IIb,6.2,54528,7,3.10E+26,real,
SN2008ax,54536,4.278,IIb,6.2,54528,8,1.97E+26,real,
SN2008ax,54536,2.082,IIb,6.2,54528,8,9.58E+25,real,
SN2008ax,54537,4.63,IIb,6.2,54528,9,2.13E+26,real,
SN2008ax,54537,3.016,IIb,6.2,54528,9,1.39E+26,real,
SN2008ax,54538,4.934,IIb,6.2,54528,10,2.27E+26,real,
SN2008ax,54538,2.934,IIb,6.2,54528,10,1.35E+26,real,
SN2008ax,54542,4.807,IIb,6.2,54528,14,2.21E+26,real,
SN2008ax,54542,2.37,IIb,6.2,54528,14,1.09E+26,real,
SN2008ax,54542,3.993,IIb,6.2,54528,14,1.84E+26,real,
SN2008ax,54543,4.04,IIb,6.2,54528,15,1.86E+26,real,
SN2008ax,54543,1.159,IIb,6.2,54528,15,5.33E+25,real,
SN2008ax,54543,3.646,IIb,6.2,54528,15,1.68E+26,real,
SN2008ax,54544,1.643,IIb,6.2,54528,16,7.56E+25,real,
SN2008ax,54544,4.13,IIb,6.2,54528,16,1.90E+26,real,
SN2008ax,54546,2.631,IIb,6.2,54528,18,1.21E+26,real,
SN2008ax,54546,3.449,IIb,6.2,54528,18,1.59E+26,real,
SN2008ax,54551,1.052,IIb,6.2,54528,23,4.84E+25,real,
SN2008ax,54551,2.748,IIb,6.2,54528,23,1.26E+26,real,
SN2008ax,54551,3.448,IIb,6.2,54528,23,1.59E+26,real,
SN2008ax,54557,0.479,IIb,6.2,54528,29,2.20E+25,real,
SN2008ax,54557,1.396,IIb,6.2,54528,29,6.42E+25,real,
SN2008ax,54557,2.492,IIb,6.2,54528,29,1.15E+26,real,
SN2008ax,54559,0.445,IIb,6.2,54528,31,2.05E+25,real,
SN2008ax,54559,1.13,IIb,6.2,54528,31,5.20E+25,real,
SN2008ax,54559,1.96,IIb,6.2,54528,31,9.01E+25,real,
SN2008ax,54563,0.249,IIb,6.2,54528,35,1.15E+25,real,
SN2008ax,54563,0.875,IIb,6.2,54528,35,4.02E+25,real,
SN2008ax,54563,1.706,IIb,6.2,54528,35,7.85E+25,real,
SN2008ax,54568,1.023,IIb,6.2,54528,40,4.71E+25,real,
SN2008ax,54568,1.978,IIb,6.2,54528,40,9.10E+25,real,
SN2008ax,54572,1.04,IIb,6.2,54528,44,4.78E+25,real,
SN2008ax,54572,1.694,IIb,6.2,54528,44,7.79E+25,real,
SN2008ax,54577,0.927,IIb,6.2,54528,49,4.26E+25,real,
SN2008ax,54577,1.814,IIb,6.2,54528,49,8.34E+25,real,
SN2008ax,54583,1.382,IIb,6.2,54528,55,6.36E+25,real,
SN2008ax,54583,2.68,IIb,6.2,54528,55,1.23E+26,real,
SN2008ax,54587,0.341,IIb,6.2,54528,59,1.57E+25,real,
SN2008ax,54587,1.028,IIb,6.2,54528,59,4.73E+25,real,
SN2008ax,54587,2.771,IIb,6.2,54528,59,1.27E+26,real,
SN2008ax,54594,0.671,IIb,6.2,54528,66,3.09E+25,real,
SN2008ax,54594,0.812,IIb,6.2,54528,66,3.73E+25,real,
SN2008ax,54594,1.936,IIb,6.2,54528,66,8.90E+25,real,
SN2008ax,54602,0.453,IIb,6.2,54528,74,2.08E+25,real,
SN2008ax,54602,1.17,IIb,6.2,54528,74,5.38E+25,real,
SN2008ax,54607,0.511,IIb,6.2,54528,79,2.35E+25,real,
SN2008ax,54607,1.581,IIb,6.2,54528,79,7.27E+25,real,
SN2008ax,54610,0.493,IIb,6.2,54528,82,2.27E+25,real,
SN2008ax,54610,0.98,IIb,6.2,54528,82,4.51E+25,real,
SN2008bo,54561,0.234,IIb,19.1,54552,9,1.02E+26,real,
SN2008bo,54561,0.477,IIb,19.1,54552,9,2.08E+26,real,
SN2008bo,54563,0.225,IIb,19.1,54552,11,9.82E+25,real,
SN2008bo,54574,0.507,IIb,19.1,54552,22,2.21E+26,real,
SN2008bo,54581,0.361,IIb,19.1,54552,29,1.58E+26,real,
SN2008bo,54581,0.63,IIb,19.1,54552,29,2.75E+26,real,
SN2008bo,54583,0.186,IIb,19.1,54552,31,8.12E+25,real,
