SN,status,obs,mjy,exp,dt
SN2006BP,L,53843,0.11,53834.0,9.0
SN2006BP,L,53843,0.217,53834.0,9.0
SN2006BP,L,53843,0.498,53834.0,9.0
SN2006BP,L,54003,0.12,53834.0,169.0
SN2006GY,L,58287,0.04,53602.0,4685.0
SN2006MY,L,54051,0.441,53948.0,103.0
SN2006MY,L,54053,1.5,53948.0,105.0
SN2006MY,L,54053,2.1,53948.0,105.0
SN2006MY,L,54874,0.423,53948.0,926.0
SN2006OV,L,54068,0.396,54034.0,34.0
SN2006OV,L,54068,0.138,54034.0,34.0
SN2006OV,L,54074,0.287,54034.0,40.0
SN2006OV,L,54831,0.32,54034.0,797.0
SN2007C,R,54111,0.825,54097.0,14.0
SN2007C,R,54139,0.25,54097.0,42.0
SN2007AK,L,54189,0.402,54169.0,20.0
SN2008X,R,55101,0.089,54479.0,622.0
SN2008AX,R,54532,1.19,54528.0,4.0
SN2008AX,R,54532,5.802,54528.0,4.0
SN2008AX,R,54535,3.94,54528.0,7.0
SN2008AX,R,54535,6.742,54528.0,7.0
SN2008AX,R,54536,4.278,54528.0,8.0
SN2008AX,R,54536,2.082,54528.0,8.0
SN2008AX,R,54537,4.63,54528.0,9.0
SN2008AX,R,54537,3.016,54528.0,9.0
SN2008AX,R,54538,4.934,54528.0,10.0
SN2008AX,R,54538,2.934,54528.0,10.0
SN2008AX,R,54542,4.807,54528.0,14.0
SN2008AX,R,54542,2.37,54528.0,14.0
SN2008AX,R,54542,3.993,54528.0,14.0
SN2008AX,R,54543,4.04,54528.0,15.0
SN2008AX,R,54543,1.159,54528.0,15.0
SN2008AX,R,54543,3.646,54528.0,15.0
SN2008AX,R,54544,1.643,54528.0,16.0
SN2008AX,R,54544,4.13,54528.0,16.0
SN2008AX,R,54546,2.631,54528.0,18.0
SN2008AX,R,54546,3.449,54528.0,18.0
SN2008AX,R,54551,1.052,54528.0,23.0
SN2008AX,R,54551,2.748,54528.0,23.0
SN2008AX,R,54551,3.448,54528.0,23.0
SN2008AX,R,54557,0.479,54528.0,29.0
SN2008AX,R,54557,1.396,54528.0,29.0
SN2008AX,R,54557,2.492,54528.0,29.0
SN2008AX,R,54559,0.445,54528.0,31.0
SN2008AX,R,54559,1.13,54528.0,31.0
SN2008AX,R,54559,1.96,54528.0,31.0
SN2008AX,L,54563,0.249,54528.0,35.0
SN2008AX,R,54563,0.875,54528.0,35.0
SN2008AX,R,54563,1.706,54528.0,35.0
SN2008AX,R,54568,1.023,54528.0,40.0
SN2008AX,R,54568,1.978,54528.0,40.0
SN2008AX,R,54572,1.04,54528.0,44.0
SN2008AX,R,54572,1.694,54528.0,44.0
SN2008AX,R,54577,0.927,54528.0,49.0
SN2008AX,R,54577,1.814,54528.0,49.0
SN2008AX,R,54583,1.382,54528.0,55.0
SN2008AX,R,54583,2.68,54528.0,55.0
SN2008AX,R,54587,0.341,54528.0,59.0
SN2008AX,R,54587,1.028,54528.0,59.0
SN2008AX,R,54587,2.771,54528.0,59.0
SN2008AX,L,54594,0.671,54528.0,66.0
SN2008AX,R,54594,0.812,54528.0,66.0
SN2008AX,R,54594,1.936,54528.0,66.0
SN2008AX,R,54602,0.453,54528.0,74.0
SN2008AX,R,54602,1.17,54528.0,74.0
SN2008AX,R,54607,0.511,54528.0,79.0
SN2008AX,R,54607,1.581,54528.0,79.0
SN2008AX,R,54610,0.493,54528.0,82.0
SN2008AX,R,54610,0.98,54528.0,82.0
SN2008BO,R,54561,0.234,54552.0,9.0
SN2008BO,R,54561,0.477,54552.0,9.0
SN2008BO,L,54563,0.225,54552.0,11.0
SN2008BO,R,54574,0.507,54552.0,22.0
SN2008BO,R,54581,0.361,54552.0,29.0
SN2008BO,R,54581,0.63,54552.0,29.0
SN2008BO,L,54583,0.186,54552.0,31.0
SN2008BO,R,54583,0.224,54552.0,31.0
SN2008BO,R,54583,0.436,54552.0,31.0
SN2008BO,L,54587,0.318,54552.0,35.0
SN2008BO,R,54587,0.183,54552.0,35.0
SN2008BO,R,54587,0.395,54552.0,35.0
SN2008BO,L,54595,0.138,54552.0,43.0
SN2008BO,R,54595,0.365,54552.0,43.0
SN2008BO,R,54601,0.275,54552.0,49.0
SN2008BO,R,54610,0.156,54552.0,58.0
SN2008IN,L,54831,0.227,54826.0,5.0
SN2008JB,R,56062,0.089,54781.0,1281.0
SN2009E,L,55101,0.147,54466.0,635.0
SN2009DD,L,54937,0.114,54933.0,4.0
SN2009DD,L,54952,0.126,54933.0,19.0
SN2009DD,R,54958,0.06,54933.0,25.0
SN2009HD,L,55023,0.18,55001.0,22.0
SN2010AS,R,55303,2.19,55271.0,32.0
SN2010AS,R,55316,3.1,55271.0,45.0
SN2010AS,R,55334,1.7,55271.0,63.0
SN2010AS,R,55376,1.69,55271.0,105.0
SN2010AS,R,55412,2.38,55271.0,141.0
SN2010AS,R,55444,2.27,55271.0,173.0
SN2010AS,L,55492,2.0,55271.0,221.0
SN2010AS,L,55696,1.9,55271.0,425.0
SN2010KP,L,55709,0.081,55530.0,179.0
SN2011CB,R,55709,0.18,55669.0,40.0
SN2011CB,R,55997,0.33,55669.0,328.0
SN2012A,L,56992,0.1,55933.0,1059.0
SN2012A,L,56524,0.1,55933.0,591.0
SN2013EJ,R,56554,0.454,56501.0,53.0
SN2013EJ,R,56876,0.19,56501.0,375.0
SN2014BC,L,57548,2.0,56755.0,793.0
SN2014BC,L,56792,0.056,56755.0,37.0
SN2014BI,L,57215,0.055,56769.0,446.0
SN2015J,R,57215,0.2,57138.0,77.0
SN2015J,R,57268,0.17,57138.0,130.0
SN2015J,R,57268,0.21,57138.0,130.0
SN2015J,R,57324,0.17,57138.0,186.0
SN2015J,R,57324,0.03,57138.0,186.0
SN2015J,R,57364,0.05,57138.0,226.0
SN2015J,L,57364,0.08,57138.0,226.0
SN2015J,R,57478,0.07,57138.0,340.0
SN2016BAS,R,57478,1.0,57449.0,29.0
SN2016BAS,R,57495,0.54,57449.0,46.0
SN2016BAS,R,57495,1.0,57449.0,46.0
SN2016BAS,R,57549,1.0,57449.0,100.0
SN2016BAS,R,57549,5.85,57449.0,100.0
SN2016BAS,R,57589,3.4,57449.0,140.0
SN2016BAS,R,57589,1.09,57449.0,140.0
SN2016BAS,R,57626,2.86,57449.0,177.0
SN2016BAS,R,57626,2.72,57449.0,177.0
SN2016BAS,R,57729,4.26,57449.0,280.0
SN2016BAS,R,57729,1.8,57449.0,280.0
SN2016BAS,R,57812,3.1,57449.0,363.0
SN2016BAS,R,57812,1.96,57449.0,363.0
SN2016BAS,R,57520,4.0,57449.0,71.0
SN2016BAU,R,57648,0.246,57459.0,189.0
SN2016GFY,L,58142,0.029,57641.0,501.0
SN2018EC,L,58142,3.6,58114.0,28.0
SN2018EC,L,58142,10.0,58114.0,28.0
