name,visual_obs_date,name_epoch,vlass_obs_date,epoch,flux,rms,days_diff,type,redshift,detection_type,luminosity_cgs,grb_luminosity_cgs,time_years
ZTF18abecbks,58302.619,ZTF18abecbks_VLASS3.1,59998.0,VLASS3.1,0.299,0.108,1695.3810000000012,SN Ic,0.03048,upper_limit,6.830167202004631e+27,2.1739464346257372e+27,4.644879452054798
ZTF18abeyqpr,58312.659,ZTF18abeyqpr_VLASS2.1,59067.0,VLASS2.1,0.257,0.141,754.3410000000003,SN Ic,0.0472,upper_limit,1.4423071830634532e+28,5.682750803637399e+26,2.0666876712328777
ZTF18abeyqpr,58312.659,ZTF18abeyqpr_VLASS3.1,60002.0,VLASS3.1,0.348,0.133,1689.3410000000003,SN Ic,0.0472,upper_limit,1.9530073918524577e+28,2.164660605184841e+27,4.628331506849316
ZTF18abfcmjw,58574.839,ZTF18abfcmjw_VLASS2.1,59072.0,VLASS2.1,0.398,0.156,497.16100000000006,SN Ib,0.0213,upper_limit,4.380167623324995e+27,2.7566936819271476e+26,1.3620849315068495
ZTF18abfcmjw,58574.839,ZTF18abfcmjw_VLASS3.1,59999.0,VLASS3.1,0.374,0.121,1424.161,SN Ib,0.0213,upper_limit,4.1160369123707235e+27,1.673266923892117e+27,3.9018109589041097
ZTF18abfzfcv,58320.679,ZTF18abfzfcv_VLASS1.2v2,58570.0,VLASS1.2v,0.378,0.12,249.32099999999627,SN IIb,0.038,upper_limit,1.3569016425110176e+28,8.15021492513296e+25,0.6830712328767021
ZTF18abfzfcv,58320.679,ZTF18abfzfcv_VLASS2.2,59540.0,VLASS2.2,0.401,0.12,1219.3209999999965,SN IIb,0.038,upper_limit,1.4394644408648627e+28,1.282065246509921e+27,3.3406054794520452
ZTF18abfzhct,58315.619,ZTF18abfzhct_VLASS1.2v2,58607.0,VLASS1.2v,0.529,0.168,291.3810000000012,SN Ic,0.04,upper_limit,2.110191750026923e+28,1.0654304712932645e+26,0.7983041095890444
ZTF18abfzhct,58315.619,ZTF18abfzhct_VLASS2.2,59520.0,VLASS2.2,0.342,0.148,1204.3810000000012,SN Ic,0.04,upper_limit,1.3642449499228877e+28,1.2553342148834422e+27,3.299673972602743
ZTF18abgrbjb,58316.699,ZTF18abgrbjb_VLASS2.1,59072.0,VLASS2.1,0.294,0.13,755.3009999999995,SN IIb,0.03,upper_limit,6.501513834773794e+27,5.694793811564318e+26,2.0693178082191768
ZTF18abgrbjb,58316.699,ZTF18abgrbjb_VLASS3.1,59999.0,VLASS3.1,0.194,0.089,1682.3009999999997,SN IIb,0.03,upper_limit,4.290114571245293e+27,2.153845739183662e+27,4.609043835616437
ZTF18abhhnnv,58317.669,ZTF18abhhnnv_VLASS2.1,59098.0,VLASS2.1,0.376,0.141,780.3309999999983,SN Ic-BL,0.0638,upper_limit,3.94687517795226e+28,6.011327116350662e+26,2.137893150684927
ZTF18abhhnnv,58317.669,ZTF18abhhnnv_VLASS3.1,59987.0,VLASS3.1,0.389,0.101,1669.3309999999983,SN Ic-BL,0.0638,upper_limit,4.083336287828269e+28,2.1339448301049744e+27,4.573509589041091
ZTF18abjrbza,58315.779,ZTF18abjrbza_VLASS1.2v2,58601.0,VLASS1.2v,0.339,0.139,285.22099999999773,SN Ic,0.01,upper_limit,8.08532128513275e+26,1.026516137203601e+26,0.7814273972602678
ZTF18abjyjdz,58333.529,ZTF18abjyjdz_VLASS1.2v2,58584.0,VLASS1.2v,0.338,0.127,250.47099999999773,SN Ib,0.04,upper_limit,1.3482888686372398e+28,8.213691687995936e+25,0.686221917808213
ZTF18abjyjdz,58333.529,ZTF18abjyjdz_VLASS2.2,59533.0,VLASS2.2,0.328,0.122,1199.4709999999975,SN Ib,0.04,upper_limit,1.3083986654231204e+28,1.245840875678711e+27,3.2862219178082124
ZTF18abkjnqy,58336.549,ZTF18abkjnqy_VLASS2.1,59068.0,VLASS2.1,0.362,0.143,731.4510000000009,SN Ic,0.02418,upper_limit,5.156125524639027e+27,5.391329881951802e+26,2.003975342465756
ZTF18abkjnqy,58336.549,ZTF18abkjnqy_VLASS3.1,59965.0,VLASS3.1,0.214,0.088,1628.451000000001,SN Ic,0.02418,upper_limit,3.0480963046208603e+27,2.0744270487820517e+27,4.461509589041098
ZTF18abklarx,58327.569,ZTF18abklarx_VLASS1.2v2,58596.0,VLASS1.2v,0.407,0.126,268.43099999999686,SN Ic-BL,0.04415,upper_limit,1.98974944824279e+28,9.250342680514574e+25,0.7354273972602654
ZTF18abklarx,58327.569,ZTF18abklarx_VLASS2.2,59513.0,VLASS2.2,0.343,0.175,1185.4309999999969,SN Ic-BL,0.04415,upper_limit,1.6768650141210741e+28,1.218878733033823e+27,3.247756164383553
ZTF18abktmfz,58339.709,ZTF18abktmfz_VLASS1.2v2,58603.0,VLASS1.2v,0.365,0.144,263.29099999999744,SN Ib,0.02045,upper_limit,3.6981053530426094e+27,8.942227244073058e+25,0.721345205479445
ZTF18abktmfz,58339.709,ZTF18abktmfz_VLASS2.2,59520.0,VLASS2.2,0.406,0.116,1180.2909999999974,SN Ib,0.02045,upper_limit,4.113508968041917e+27,1.209076140207763e+27,3.2336739726027326
ZTF18aboabxv,58353.609,ZTF18aboabxv_VLASS1.2v2,58570.0,VLASS1.2v,0.329,0.117,216.390999999996,SN Ic,0.029,upper_limit,6.788584747480538e+27,6.313051353121956e+25,0.5928520547945096
ZTF18aboabxv,58353.609,ZTF18aboabxv_VLASS2.2,59495.0,VLASS2.2,0.333,0.121,1141.390999999996,SN Ic,0.029,upper_limit,6.871120732252338e+27,1.1435324795005277e+27,3.127098630136975
ZTF18abojpnr,58364.709,ZTF18abojpnr_VLASS1.2v2,58585.0,VLASS1.2v,0.266,0.127,220.29099999999744,SN IIb,0.0375,upper_limit,9.292204234272169e+27,6.525592592292058e+25,0.6035369863013629
ZTF18abojpnr,58364.709,ZTF18abojpnr_VLASS2.2,59492.0,VLASS2.2,0.231,0.108,1127.2909999999974,SN IIb,0.0375,upper_limit,8.06954578239425e+27,1.1209892590409247e+27,3.088468493150678
ZTF18abrfchj,58387.779,ZTF18abrfchj_VLASS2.1,59067.0,VLASS2.1,3.299,0.398,679.2209999999977,SN Ic,0.011,detection,9.535001872113941e+27,4.7504412887471524e+26,1.8608794520547882
ZTF18abrfchj,58387.779,ZTF18abrfchj_VLASS3.1,59972.0,VLASS3.1,2.993,0.369,1584.2209999999975,SN Ic,0.011,detection,8.650579146176728e+27,1.9862945140145763e+27,4.340331506849308
ZTF18absliyc,58366.739,ZTF18absliyc_VLASS2.1,59047.0,VLASS2.1,0.528,0.146,680.2609999999986,SN Ic,0.08,upper_limit,8.911324147336753e+28,4.7628312296186575e+26,1.8637287671232838
ZTF18absliyc,58366.739,ZTF18absliyc_VLASS3.1,59979.0,VLASS3.1,0.364,0.127,1612.2609999999986,SN Ic,0.08,upper_limit,6.143412859148822e+28,2.0479880992949993e+27,4.41715342465753
ZTF18abtvstb,58358.649,ZTF18abtvstb_VLASS2.1,59153.0,VLASS2.1,0.333,0.142,794.3510000000024,SN IIb,0.021,upper_limit,3.5607190528403317e+27,6.190745244345895e+26,2.1763041095890476
ZTF18abtvstb,58358.649,ZTF18abtvstb_VLASS3.1,60108.0,VLASS3.1,0.337,0.146,1749.3510000000024,SN IIb,0.021,upper_limit,3.6034904528744494e+27,2.2675772405456486e+27,4.792742465753431
ZTF18abukavn,58364.579,ZTF18abukavn_VLASS1.2v2,58607.0,VLASS1.2v,0.297,0.134,242.4210000000021,SN Ic-BL,0.032,upper_limit,7.494675626019538e+27,7.74267637903545e+25,0.664167123287677
ZTF18abukavn,58364.579,ZTF18abukavn_VLASS2.2,59532.0,VLASS2.2,0.242,0.113,1167.421000000002,SN Ic-BL,0.032,upper_limit,6.106772732312216e+27,1.1855628914247236e+27,3.1984136986301426
ZTF18abvfjwt,58373.889,ZTF18abvfjwt_VLASS2.1,59065.0,VLASS2.1,0.369,0.17,691.1109999999971,SN Ic-BL,0.073,upper_limit,5.136120132218154e+28,4.892884509289201e+26,1.8934547945205402
ZTF18abvfjwt,58373.889,ZTF18abvfjwt_VLASS3.1,59987.0,VLASS3.1,0.324,0.124,1613.1109999999971,SN Ic-BL,0.073,upper_limit,4.509764018533013e+28,2.049870823729575e+27,4.419482191780814
ZTF18abvkmgw,58369.769,ZTF18abvkmgw_VLASS2.1,59070.0,VLASS2.1,0.443,0.158,700.2309999999998,SN Ib,0.03847,upper_limit,1.630921941489961e+28,5.0033157694372534e+26,1.9184410958904103
ZTF18abvkmgw,58369.769,ZTF18abvkmgw_VLASS3.1,59978.0,VLASS3.1,0.321,0.12,1608.2309999999998,SN Ib,0.03847,upper_limit,1.1817741381902424e+28,2.039071812574015e+27,4.406112328767122
ZTF18abwkrbl,58368.829,ZTF18abwkrbl_VLASS1.2v2,58568.0,VLASS1.2v,0.457,0.171,199.1710000000021,SN IIb,0.00999,upper_limit,1.0877728133945701e+27,5.4202592007997965e+25,0.5456739726027454
ZTF18acahvwm,58416.619,ZTF18acahvwm_VLASS2.1,59071.0,VLASS2.1,0.555,0.179,654.3810000000012,SN IIb,0.06,upper_limit,5.125192657983213e+28,4.449082793326178e+26,1.79282465753425
ZTF18acahvwm,58416.619,ZTF18acahvwm_VLASS3.1,60008.0,VLASS3.1,0.517,0.142,1591.3810000000012,SN IIb,0.06,upper_limit,4.774278566085262e+28,2.0019714153686697e+27,4.359947945205483
ZTF18acaimrb,58390.569,ZTF18acaimrb_VLASS2.1,59046.0,VLASS2.1,0.437,0.177,655.4309999999969,SN Ic-BL,0.048,upper_limit,2.539223987358763e+28,4.4613888793041354e+26,1.795701369863005
ZTF18acaimrb,58390.569,ZTF18acaimrb_VLASS3.1,59975.0,VLASS3.1,0.389,0.146,1584.4309999999969,SN Ic-BL,0.048,upper_limit,2.2603160894337735e+28,1.9867535632107378e+27,4.3409068493150595
ZTF18acbvahw,58412.709,ZTF18acbvahw_VLASS2.1,59076.0,VLASS2.1,0.475,0.177,663.2909999999974,SN Ib,0.02,upper_limit,4.600050963867195e+27,4.5563723324332615e+26,1.8172356164383492
ZTF18acbvahw,58412.709,ZTF18acbvahw_VLASS3.1,60013.0,VLASS3.1,0.419,0.157,1600.2909999999974,SN Ib,0.02,upper_limit,4.057729166021801e+27,2.021553299905544e+27,4.384358904109582
ZTF18acbvpzj,58421.669,ZTF18acbvpzj_VLASS1.2v2,58670.0,VLASS1.2v,0.913,0.274,248.3309999999983,SN Ic-BL,0.119,upper_limit,3.590450703887185e+29,8.091839819434706e+25,0.6803589041095844
ZTF18acbvpzj,58421.669,ZTF18acbvpzj_VLASS2.2,59615.0,VLASS2.2,0.537,0.243,1193.3309999999983,SN Ic-BL,0.119,upper_limit,2.1117984972479943e+29,1.234016218907107e+27,3.269399999999995
