name,visual_obs_date,name_epoch,vlass_obs_date,epoch,flux,rms,days_diff,type,redshift,detection_type,luminosity_cgs,grb_luminosity_cgs,time_years
ZTF18aaxnqjb,58273.589,ZTF18aaxnqjb_VLASS3.1,59981.0,VLASS3.1,0.256,0.102,1707.411,SN II,0.054,upper_limit,1.8987576669297096e+28,1.2046845406371568e+28,4.677838356164384
ZTF18aaxxfgs,58281.629,ZTF18aaxxfgs_VLASS1.2v2,58563.0,VLASS1.2v,0.512,0.14,281.3709999999992,SN IIn,0.026,upper_limit,8.454471154090293e+27,1.5795538585923875e+27,0.7708794520547922
ZTF18aazjflo,59673.769,ZTF18aazjflo_VLASS3.1,60014.0,VLASS3.1,0.4,0.122,340.23099999999977,SN II,0.04414,upper_limit,1.9546138857046242e+28,2.038102591432766e+27,0.9321397260273966
ZTF18abaelhi,58272.569,ZTF18abaelhi_VLASS1.2v2,58595.0,VLASS1.2v,0.387,0.153,322.43099999999686,SN II,0.02253,upper_limit,4.773913252688624e+27,1.8837392712335234e+27,0.8833726027397174
ZTF18abbpxik,58288.649,ZTF18abbpxik_VLASS1.2v2,58556.0,VLASS1.2v,0.432,0.145,267.3510000000024,SN II,0.03236,upper_limit,1.1153873912907517e+28,1.4568869095190643e+27,0.7324684931506915
ZTF18abbpyvk,58301.549,ZTF18abbpyvk_VLASS1.2v2,58574.0,VLASS1.2v,0.378,0.134,272.45100000000093,SN IIP,0.02218,upper_limit,4.516797636929956e+27,1.5021094320205585e+27,0.7464410958904135
ZTF18abceakp,58293.589,ZTF18abceakp_VLASS2.1,59093.0,VLASS2.1,0.369,0.158,799.4110000000001,SN II,0.03,upper_limit,8.16006328242017e+27,6.066689107534679e+27,2.1901671232876714
ZTF18abcezmh,58289.759,ZTF18abcezmh_VLASS1.2v2,58609.0,VLASS1.2v,0.379,0.156,319.2410000000018,SN II,0.057,upper_limit,3.1453669485819127e+28,1.8640407920329466e+27,0.8746328767123337
ZTF18abcezmh,58289.759,ZTF18abcezmh_VLASS2.2,59495.0,VLASS2.2,0.604,0.211,1205.2410000000018,SN II,0.057,upper_limit,5.012669226763787e+28,7.15831153364757e+27,3.302030136986306
ZTF18abcfdzu,58340.559,ZTF18abcfdzu_VLASS2.1,59063.0,VLASS2.1,0.43,0.172,722.4409999999989,SN IIP,0.125,upper_limit,1.8802612233108412e+29,5.633075765514372e+27,1.9792904109589011
