SN,mjd obs,flux (mJy),mjd exp date,dt (days),dt (years),redshift,Luminosity,classification,status
SN2009fi,58561,2.2,54981,3580,9.808219178,,1.17E+28,VLASS_rich,real
SN2004dk,58611,6.3,53218,5393,14.77534247,0.0052,3.34E+27,VLASS_poor,real
SN2016coi,59049,1.8,57535.54,1513.46,4.146465753,0.0036,4.70E+26,VLASS_poor,real
SN2014C,58604,29,56662,1942,5.320547945,0.002722,7.91E+27,VLASS_poor,real
SN2018hon,58585,0.52,58416.26899,168.73101,0.4622767397,0.081,9.01E+28,new_VLASS,real
SN2018hon,59549,1.803,58416.26899,1132.73101,3.10337263,0.081,3.12E+29,new_VLASS,real
SN2018hon,60480,0.372,58416.26899,2063.73101,5.654057562,0.081,6.45E+28,new_VLASS,real
SN2018hon,60826.70367,0.532,58416.26899,2410.43468,6.60393063,0.081,9.22E+28,new_VLASS,upper
SN2019aur,58652,0.977,58526.26199,125.7380093,0.3444876966,0.0124,3.60E+27,new_VLASS,real
SN2019aur,59499,0.414,58526.26199,972.7380093,2.665035642,0.0124,1.52E+27,new_VLASS,real
SN2019aur,60470,0.359,58526.26199,1943.738009,5.325309614,0.0124,1.32E+27,new_VLASS,real
SN2019aur,60840.76803,0.365,58526.26199,2314.506039,6.341112436,0.0124,1.34E+27,new_VLASS,real
SN2019njv,58031,0.289,58707.29899,-676.29899,-1.852873945,0.01458,1.48E+27,new_VLASS,real
SN2019njv,59070,0.697,58707.29899,362.70101,0.9937013973,0.01458,3.56E+27,new_VLASS,real
SN2019njv,59978,8.017,58707.29899,1270.70101,3.48137263,0.01458,4.09E+28,new_VLASS,real
SN2019njv,60823.48927,5.902,58707.29899,2116.19028,5.797781589,0.01458,3.01E+28,new_VLASS,real
SN2019pqo,58584,0.367,58733.21242,-149.21242,-0.4088011507,0.01413,1.76E+27,new_VLASS,real
SN2019pqo,59533,0.359,58733.21242,799.78758,2.191198849,0.01413,1.72E+27,new_VLASS,real
SN2019pqo,60481,0.938,58733.21242,1747.78758,4.788459123,0.01413,4.49E+27,new_VLASS,real
SN2019pqo,60827.12607,2.045,58733.21242,2093.91365,5.736749726,0.01413,9.80E+27,new_VLASS,real
SN2019yvs,58590,0.364,58845.55899,-255.55899,-0.7001616164,0.0255,5.78E+27,new_VLASS,real
SN2019yvs,59488,0.389,58845.55899,642.44101,1.760112356,0.0255,6.17E+27,new_VLASS,real
