days,luminosity
195.3827479338843, 7.830071500605081e+27
202.96229338842974, 7.949332392093585e+27
210.54183884297518, 8.040745562726904e+27
218.12138429752068, 8.109759479628881e+27
225.70092975206612, 8.158190298507461e+27
233.28047520661156, 8.19027571601452e+27
240.860020661157, 8.208437273093988e+27
248.4395661157025, 8.217518051633722e+27
256.0191115702479, 8.209648043565953e+27
263.5986570247934, 8.198751109318272e+27
271.1782024793389, 8.179984167002822e+27
278.7577479338843, 8.154557987091568e+27
286.33729338842977, 8.124894110528437e+27
293.91683884297515, 8.090387152077449e+27
301.49638429752065, 8.055274808390479e+27
309.07592975206614, 8.013503227107703e+27
316.6554752066115, 7.971126260588946e+27
324.235020661157, 7.928143908834206e+27
331.8145661157025, 7.881529245663573e+27
339.3941115702479, 7.833703812020975e+27
346.9736570247934, 7.785878378378377e+27
354.5532024793389, 7.737447559499798e+27
362.1327479338843, 7.688411355385235e+27
369.71229338842977, 7.639375151270672e+27
377.29183884297527, 7.58791740621218e+27
384.87138429752065, 7.537670431625655e+27
392.45092975206614, 7.48802884227511e+27
400.03047520661164, 7.436571097216618e+27
407.610020661157, 7.386929507866073e+27
415.1895661157025, 7.336682533279547e+27
422.7691115702479, 7.288857099636949e+27
430.3486570247934, 7.238610125050423e+27
437.9282024793389, 7.18957392093586e+27
445.5077479338843, 7.140537716821298e+27
453.08729338842977, 7.091501512706736e+27
460.66683884297527, 7.041859923356191e+27
468.24638429752065, 6.99342910447761e+27
475.82592975206614, 6.94499828559903e+27
483.4054752066115, 6.898383622428398e+27
490.985020661157, 6.85358511496571e+27
498.5645661157025, 6.806970451795077e+27
506.1441115702479, 6.760961173860427e+27
513.7236570247934, 6.714346510689792e+27
521.3032024793389, 6.668337232755142e+27
528.8827479338843, 6.625354881000402e+27
536.4622933884298, 6.581767144009679e+27
544.0418388429753, 6.538179407018958e+27
551.6213842975206, 6.492775514320289e+27
559.2009297520661, 6.449793162565549e+27
566.7804752066115, 6.40438926986688e+27
574.360020661157, 6.361406918112141e+27
581.9395661157025, 6.319635336829366e+27
589.5191115702479, 6.27786375554659e+27
597.0986570247934, 6.235486789027832e+27
604.6782024793389, 6.194320592981039e+27
612.2577479338843, 6.153759782170229e+27
620.066976584022, 6.117221419927389e+27
626.7277892561983, 6.02820288422751e+27
634.3073347107438, 6.038736587333601e+27
641.8868801652892, 6.000597317466719e+27
649.4664256198347, 5.962458047599837e+27
657.0459710743802, 5.922502622025009e+27
664.6255165289256, 5.884363352158127e+27
672.2050619834711, 5.84743485276321e+27
679.7846074380166, 5.811717123840256e+27
687.364152892562, 5.775999394917304e+27
694.9436983471074, 5.739070895522386e+27
702.5232438016529, 5.702747781363451e+27
710.1027892561983, 5.667635437676481e+27
717.6823347107438, 5.631312323517546e+27
725.2618801652892, 5.595594594594593e+27
732.8414256198347, 5.562298406615569e+27
740.4209710743802, 5.528396833400563e+27
748.0005165289256, 5.49510064542154e+27
755.5800619834711, 5.456355990318675e+27
762.8150826446281, 5.387720439189187e+27
770.739152892562, 5.401871319080273e+27
778.3186983471074, 5.362521278741427e+27
785.8982438016528, 5.332857402178296e+27
792.7887396694215, 5.298283178701088e+27
812.1682592975206, 5.222071903993544e+27
818.9726239669421, 5.188170330778538e+27
826.5521694214876, 5.154874142799514e+27
834.131714876033, 5.129447962888261e+27
841.7112603305784, 5.100389471561112e+27
849.2908057851239, 5.069514824526018e+27
856.8703512396694, 5.039850947962886e+27
864.4498966942149, 5.010187071399756e+27
872.0294421487604, 4.980523194836626e+27
879.6089876033059, 4.950859318273496e+27
887.1885330578511, 4.920590056474384e+27
894.7680785123966, 4.893347720855182e+27
902.3476239669421, 4.864289229528034e+27
909.9271694214876, 4.837046893908833e+27
917.5067148760331, 4.8091991730536494e+27
925.0862603305784, 4.780140681726501e+27
932.6658057851239, 4.753503731343282e+27
940.2453512396694, 4.723839854780152e+27
947.8248966942149, 4.697202904396933e+27
