name,visual_obs_date,name_epoch,vlass_obs_date,epoch,flux,rms,days_diff,type,redshift,detection_type,luminosity_cgs,model_luminosity_cgs,time_years
ZTF18aaiiigm,58548.629,ZTF18aaiiigm_VLASS1.2v2,58587.0,VLASS1.2v,0.318,0.102,38.370999999999185,SN Ia,0.0782,upper_limit,5.115662938573202e+28,0.0,0.10512602739725804
ZTF18aaiiigm,58548.629,ZTF18aaiiigm_VLASS2.2,59572.0,VLASS2.2,0.334,0.113,1023.3709999999992,SN Ia,0.0782,upper_limit,5.37305478453915e+28,0.0,2.8037561643835596
ZTF18aailmnv,58314.659,ZTF18aailmnv_VLASS2.1,59065.0,VLASS2.1,0.467,0.14,750.3410000000003,SN Ia,0.08,upper_limit,7.8817961681936805e+28,5.483065638641557e+27,2.0557287671232887
ZTF18aailmnv,58314.659,ZTF18aailmnv_VLASS3.1,59986.0,VLASS3.1,0.265,0.109,1671.3410000000003,SN Ia,0.08,upper_limit,4.4725395815231815e+28,0.0,4.579016438356165
ZTF18aairuad,58217.639,ZTF18aairuad_VLASS2.1,59084.0,VLASS2.1,0.367,0.13,866.3609999999971,SN Ia,0.064,upper_limit,3.877674941527637e+28,5.002666531465593e+27,2.37359178082191
ZTF18aairuad,58217.639,ZTF18aairuad_VLASS3.1,60003.0,VLASS3.1,0.382,0.13,1785.3609999999971,SN Ia,0.064,upper_limit,4.036163018156832e+28,0.0,4.891399999999992
ZTF18aaisqmw,59193.889,ZTF18aaisqmw_VLASS3.1,59984.0,VLASS3.1,0.596,0.127,790.1109999999971,SN Ia,0.0527,detection,4.202517777106284e+28,5.311656674621993e+27,2.164687671232869
ZTF18aaiwewk,59627.769,ZTF18aaiwewk_VLASS3.1,59984.0,VLASS3.1,0.294,0.135,356.23099999999977,SN Ia,0.087,upper_limit,5.924307743937595e+28,7.72647619349142e+27,0.9759753424657528
ZTF18aaiykoz,59015.619,ZTF18aaiykoz_VLASS2.2,59495.0,VLASS2.2,0.623,0.166,479.3810000000012,SN Ia,0.0305,upper_limit,1.4250518766710224e+28,6.923003515202546e+27,1.3133726027397294
ZTF18aaizerg,58846.949,ZTF18aaizerg_VLASS2.1,59062.0,VLASS2.1,0.408,0.146,215.05099999999948,SN Ia,0.0685,upper_limit,4.969404834621983e+28,8.08202534901088e+27,0.5891808219178067
ZTF18aaizerg,58846.949,ZTF18aaizerg_VLASS3.1,59979.0,VLASS3.1,0.287,0.105,1132.0509999999997,SN Ia,0.0685,upper_limit,3.495635263569875e+28,0.0,3.101509589041095
ZTF18aajivpr,58946.669,ZTF18aajivpr_VLASS2.1,59063.0,VLASS2.1,0.533,0.207,116.33099999999833,SN Ia,0.0515,upper_limit,3.582976321093609e+28,3.8113771978329827e+27,0.3187150684931461
ZTF18aajivpr,58946.669,ZTF18aajivpr_VLASS3.1,59984.0,VLASS3.1,0.311,0.101,1037.3309999999983,SN Ia,0.0515,upper_limit,2.090629710806965e+28,0.0,2.8420027397260226
ZTF18aajjhkq,59221.809,ZTF18aajjhkq_VLASS2.2,59540.0,VLASS2.2,0.493,0.121,318.1909999999989,SN Ia,0.07,detection,6.28359278076125e+28,7.96231713040865e+27,0.8717561643835586
ZTF18aajkrxi,59673.679,ZTF18aajkrxi_VLASS3.1,59966.0,VLASS3.1,0.366,0.148,292.3209999999963,SN Ia,0.08027,upper_limit,6.221223083003881e+28,8.097565779110325e+27,0.8008794520547843
ZTF18aajpjdi,58235.589,ZTF18aajpjdi_VLASS2.1,59099.0,VLASS2.1,0.367,0.123,863.4110000000001,SN Ia,0.0746,upper_limit,5.3464139559267516e+28,5.014227242850486e+27,2.365509589041096
ZTF18aajpjdi,58235.589,ZTF18aajpjdi_VLASS3.1,59974.0,VLASS3.1,0.265,0.126,1738.411,SN Ia,0.0746,upper_limit,3.8604896412005164e+28,0.0,4.762769863013699
ZTF18aajtlbf,58219.829,ZTF18aajtlbf_VLASS2.1,59065.0,VLASS2.1,0.297,0.146,845.1710000000021,SN Ia,0.028,upper_limit,5.704553002626843e+27,5.08623890006982e+27,2.3155369863013755
ZTF18aajtlbf,58219.829,ZTF18aajtlbf_VLASS3.1,59986.0,VLASS3.1,0.227,0.096,1766.171000000002,SN Ia,0.028,upper_limit,4.36004556093028e+27,0.0,4.838824657534253
ZTF18aakaljn,58217.539,ZTF18aakaljn_VLASS1.2v2,58589.0,VLASS1.2v,0.465,0.148,371.4609999999957,SN Ia-pec,0.07,upper_limit,5.926715300312334e+28,7.627379073553933e+27,1.017701369863002
ZTF18aakaljn,58217.539,ZTF18aakaljn_VLASS2.2,59527.0,VLASS2.2,0.287,0.132,1309.4609999999957,SN Ia-pec,0.07,upper_limit,3.657994174601376e+28,0.0,3.587564383561632
ZTF18aakecej,58222.559,ZTF18aakecej_VLASS2.1,59063.0,VLASS2.1,0.326,0.156,840.4409999999989,SN Ia,0.06645,upper_limit,3.72593081982748e+28,5.105229629530261e+27,2.302578082191778
ZTF18aakecej,58222.559,ZTF18aakecej_VLASS3.1,59984.0,VLASS3.1,0.276,0.133,1761.440999999999,SN Ia,0.06645,upper_limit,3.1544690376453523e+28,0.0,4.8258657534246545
ZTF18aakiwbs,58943.819,ZTF18aakiwbs_VLASS2.1,59065.0,VLASS2.1,0.299,0.116,121.18099999999686,SN Ia,0.066,upper_limit,3.369104626978776e+28,4.2281777404764517e+27,0.3320027397260188
ZTF18aakiwbs,58943.819,ZTF18aakiwbs_VLASS3.1,59986.0,VLASS3.1,0.311,0.116,1042.1809999999969,SN Ia,0.066,upper_limit,3.5043195283959844e+28,0.0,2.8552904109588955
ZTF18aaklpdo,58424.869,ZTF18aaklpdo_VLASS1.2v2,58585.0,VLASS1.2v,0.34,0.112,160.13100000000122,SN Ia,0.046,upper_limit,1.8092119734617567e+28,6.761108018694169e+27,0.43871506849315406
ZTF18aaklpdo,58424.869,ZTF18aaklpdo_VLASS2.2,59527.0,VLASS2.2,0.329,0.125,1102.1310000000012,SN Ia,0.046,upper_limit,1.7506786449085823e+28,0.0,3.019536986301373
ZTF18aakzliv,58225.859,ZTF18aakzliv_VLASS2.1,59103.0,VLASS2.1,0.281,0.129,877.140999999996,SN Ia,0.09,upper_limit,6.084118026400095e+28,4.960470641412524e+27,2.4031260273972492
ZTF18aakzliv,58225.859,ZTF18aakzliv_VLASS3.1,59962.0,VLASS3.1,0.24,0.119,1736.140999999996,SN Ia,0.09,upper_limit,5.196399737850614e+28,0.0,4.756550684931496
ZTF18aalcxig,58237.789,ZTF18aalcxig_VLASS1.2v2,58609.0,VLASS1.2v,1.005,0.424,371.2109999999957,SN Ia,0.074,upper_limit,1.4394288636212178e+29,7.629089449736216e+27,1.0170164383561526
ZTF18aalcxig,58237.789,ZTF18aalcxig_VLASS2.2,59495.0,VLASS2.2,0.348,0.127,1257.2109999999957,SN Ia,0.074,upper_limit,4.98429099044959e+28,0.0,3.4444136986301253
ZTF18aamigmk,58235.829,ZTF18aamigmk_VLASS3.1,59999.0,VLASS3.1,0.276,0.113,1763.171000000002,SN Ia,0.017,upper_limit,1.922528025584941e+27,0.0,4.8306054794520605
ZTF18aamsgjq,58413.929,ZTF18aamsgjq_VLASS2.1,59026.0,VLASS2.1,0.282,0.128,612.0709999999963,SN Ia,0.06002,upper_limit,2.6059614717600414e+28,6.15474990920452e+27,1.6769068493150583
ZTF18aamsgjq,58413.929,ZTF18aamsgjq_VLASS3.1,59957.0,VLASS3.1,0.25,0.104,1543.0709999999965,SN Ia,0.06002,upper_limit,2.3102495317021645e+28,0.0,4.227591780821908
ZTF18aamtiwb,59629.699,ZTF18aamtiwb_VLASS3.1,59982.0,VLASS3.1,0.336,0.107,352.3009999999995,SN Ia-91T,0.066,upper_limit,3.786017239681835e+28,7.751698026074938e+27,0.9652082191780808
ZTF18aamvfeb,59723.679,ZTF18aamvfeb_VLASS3.1,59968.0,VLASS3.1,0.559,0.155,244.32099999999627,SN Ia,0.03149,upper_limit,1.3649904587422569e+28,8.212617434442792e+27,0.6693726027397158
ZTF18aamxads,59342.579,ZTF18aamxads_VLASS3.1,59983.0,VLASS3.1,0.308,0.135,640.4210000000021,SN Ia,0.077,upper_limit,4.796015250780409e+28,6.00791941537046e+27,1.7545780821917865
ZTF18aangpkx,58975.799,ZTF18aangpkx_VLASS2.1,59101.0,VLASS2.1,0.288,0.121,125.20100000000092,SN Ia,0.0699,upper_limit,3.6597532258770425e+28,4.580436852297951e+27,0.3430164383561669
ZTF18aangpkx,58975.799,ZTF18aangpkx_VLASS3.1,59968.0,VLASS3.1,0.391,0.169,992.2010000000008,SN Ia,0.0699,upper_limit,4.968623303187235e+28,4.5418341579638457e+27,2.7183589041095915
ZTF18aanhpii,59766.709,ZTF18aanhpii_VLASS3.1,59984.0,VLASS3.1,0.24,0.12,217.29099999999744,SN Ia,0.07,upper_limit,3.058949832419269e+28,8.102288152935842e+27,0.595317808219171
ZTF18aanlyba,59590.909,ZTF18aanlyba_VLASS3.1,60001.0,VLASS3.1,0.536,0.162,410.0910000000003,SN Ia,0.031,upper_limit,1.2675035651006357e+28,7.370342360926598e+27,1.1235369863013707
ZTF18aannern,59250.879,ZTF18aannern_VLASS2.2,59495.0,VLASS2.2,0.439,0.15,244.1209999999992,SN Ia,0.03329,upper_limit,1.2011765874486155e+28,8.21237743419016e+27,0.6688246575342445
ZTF18aansqom,59299.869,ZTF18aansqom_VLASS3.1,60001.0,VLASS3.1,0.977,0.242,701.1310000000012,SN Ia,0.03,detection,2.1605370804673457e+28,5.709373076084485e+27,1.9209068493150718
ZTF18aansqov,59362.699,ZTF18aansqov_VLASS2.2,59532.0,VLASS2.2,0.365,0.132,169.30099999999948,SN Ia,0.07,upper_limit,4.652152870137638e+28,7.136800464563787e+27,0.4638383561643821
ZTF18aansqun,58298.619,ZTF18aansqun_VLASS1.2v2,58607.0,VLASS1.2v,0.321,0.107,308.3810000000012,SN Ia,0.05964,upper_limit,2.9273561165025284e+28,8.017281208932189e+27,0.8448794520547979
ZTF18aansqun,58298.619,ZTF18aansqun_VLASS2.2,59532.0,VLASS2.2,0.257,0.109,1233.3810000000012,SN Ia,0.05964,upper_limit,2.3437087910939242e+28,0.0,3.3791260273972634
ZTF18aanygjk,58643.749,ZTF18aanygjk_VLASS2.1,59093.0,VLASS2.1,0.379,0.128,449.25099999999657,SN Ia,0.049,upper_limit,2.2982021246947385e+28,7.116174949687141e+27,1.2308246575342372
ZTF18aanygjk,58643.749,ZTF18aanygjk_VLASS3.1,59985.0,VLASS3.1,0.245,0.107,1341.2509999999966,SN Ia,0.049,upper_limit,1.4856451729557018e+28,0.0,3.6746602739725933
ZTF18aaotzhu,58232.709,ZTF18aaotzhu_VLASS1.2v2,58573.0,VLASS1.2v,0.388,0.11,340.29099999999744,SN Ia,0.07,upper_limit,4.945302229077819e+28,7.82797379248253e+27,0.9323041095890341
ZTF18aaotzhu,58232.709,ZTF18aaotzhu_VLASS2.2,59502.0,VLASS2.2,0.223,0.104,1269.2909999999974,SN Ia,0.07,upper_limit,2.842274219289571e+28,0.0,3.4775095890410888
ZTF18aaoufjt,58625.639,ZTF18aaoufjt_VLASS2.1,59107.0,VLASS2.1,0.383,0.128,481.36099999999715,SN Ia,0.0298,upper_limit,8.354655917230498e+27,6.910854099334803e+27,1.3187972602739648
ZTF18aaoufjt,58625.639,ZTF18aaoufjt_VLASS3.1,60026.0,VLASS3.1,0.29,0.089,1400.3609999999971,SN Ia,0.0298,upper_limit,6.325979676231969e+27,0.0,3.836605479452047
ZTF18aaovbiy,58232.719,ZTF18aaovbiy_VLASS2.1,59131.0,VLASS2.1,0.352,0.131,898.2810000000027,SN Ia,0.08,upper_limit,5.940882764891168e+28,4.8798278594541413e+27,2.461043835616446
ZTF18aaovbiy,58232.719,ZTF18aaovbiy_VLASS3.1,59966.0,VLASS3.1,0.282,0.127,1733.281000000003,SN Ia,0.08,upper_limit,4.759457215054856e+28,0.0,4.7487150684931585
ZTF18aaoxrup,58946.759,ZTF18aaoxrup_VLASS2.1,59093.0,VLASS2.1,0.421,0.132,146.2410000000018,SN Ia,0.06,upper_limit,3.8877587549746534e+28,6.038617883595847e+27,0.4006602739726077
