ZTF18aaisyyp_VLASS3.1 has a difference in days of 1744.390999999996
ZTF18aaivnak_VLASS1.1v2 has a difference in days of -2037.6990000000003
ZTF18aaivnak_VLASS2.1 has a difference in days of -992.6990000000004
ZTF18aaivnak_VLASS3.1 has a difference in days of -144.69900000000052
ZTF18aaiwewk_VLASS1.1v2 has a difference in days of -1551.7690000000002
ZTF18aaiwewk_VLASS2.1 has a difference in days of -564.7690000000002
ZTF18aaiwewk_VLASS3.1 has a difference in days of 356.23099999999977
ZTF18aaiwzie_VLASS1.1v2 has a difference in days of -1908.8790000000008
ZTF18aaiwzie_VLASS2.1 has a difference in days of -863.8790000000008
ZTF18aaiwzie_VLASS3.1 has a difference in days of -15.879000000000817
ZTF18aaiykoz_VLASS1.2v2 has a difference in days of -445.6189999999988
ZTF18aaiykoz_VLASS2.2 has a difference in days of 479.3810000000012
ZTF18aaizerg_VLASS1.1v2 has a difference in days of -758.9490000000005
ZTF18aaizerg_VLASS2.1 has a difference in days of 215.05099999999948
ZTF18aaizerg_VLASS3.1 has a difference in days of 1132.0509999999997
ZTF18aajivpr_VLASS1.1v2 has a difference in days of -927.6690000000016
ZTF18aajivpr_VLASS2.1 has a difference in days of 116.33099999999833
ZTF18aajivpr_VLASS3.1 has a difference in days of 1037.3309999999983
ZTF18aajjhkq_VLASS1.2v2 has a difference in days of -609.8090000000011
ZTF18aajjhkq_VLASS2.2 has a difference in days of 318.1909999999989
ZTF18aajkcdn_VLASS1.2v2 has a difference in days of -1312.8689999999988
ZTF18aajkcdn_VLASS2.2 has a difference in days of -348.8689999999988
ZTF18aajkrxi_VLASS1.1v2 has a difference in days of -1592.6790000000035
ZTF18aajkrxi_VLASS2.1 has a difference in days of -559.6790000000037
ZTF18aajkrxi_VLASS3.1 has a difference in days of 292.3209999999963
ZTF18aajpjdi_VLASS1.1v2 has a difference in days of -153.58899999999994
ZTF18aajpjdi_VLASS2.1 has a difference in days of 863.4110000000001
ZTF18aajpjdi_VLASS3.1 has a difference in days of 1738.411
ZTF18aajqcue_VLASS1.1v2 has a difference in days of -178.5590000000011
ZTF18aajqcue_VLASS2.1 has a difference in days of 802.4409999999989
ZTF18aajqcue_VLASS3.1 has a difference in days of 1723.440999999999
ZTF18aajtlbf_VLASS1.1v2 has a difference in days of -209.8289999999979
ZTF18aajtlbf_VLASS2.1 has a difference in days of 845.1710000000021
ZTF18aajtlbf_VLASS3.1 has a difference in days of 1766.171000000002
ZTF18aajvqye_VLASS1.1v2 has a difference in days of -2063.6690000000017
ZTF18aajvqye_VLASS2.1 has a difference in days of -1026.6690000000017
ZTF18aajvqye_VLASS3.1 has a difference in days of -118.66900000000167
ZTF18aakaljn_VLASS1.2v2 has a difference in days of 371.4609999999957
ZTF18aakaljn_VLASS2.2 has a difference in days of 1309.4609999999957
ZTF18aakctzv_VLASS1.1v2 has a difference in days of -217.6290000000008
ZTF18aakctzv_VLASS2.1 has a difference in days of 806.3709999999992
ZTF18aakctzv_VLASS3.1 has a difference in days of 1728.3709999999992
ZTF18aakecej_VLASS1.1v2 has a difference in days of -146.5590000000011
ZTF18aakecej_VLASS2.1 has a difference in days of 840.4409999999989
ZTF18aakecej_VLASS3.1 has a difference in days of 1761.440999999999
ZTF18aakfabl_VLASS1.1v2 has a difference in days of -381.8689999999988
ZTF18aakfabl_VLASS2.1 has a difference in days of 714.1310000000012
ZTF18aakfabl_VLASS3.1 has a difference in days of 1577.1310000000012
ZTF18aakiwbs_VLASS1.1v2 has a difference in days of -933.8190000000031
ZTF18aakiwbs_VLASS2.1 has a difference in days of 121.18099999999686
ZTF18aakiwbs_VLASS3.1 has a difference in days of 1042.1809999999969
