name,visual_obs_date,name_epoch,vlass_obs_date,epoch,days_diff,type
ZTF18abtkqkb,58367.669,ZTF18abtkqkb_VLASS1.2v2,58664.0,VLASS1.2v,296.3309999999983,SN Ia
ZTF18abtkqkb,58367.669,ZTF18abtkqkb_VLASS2.2,59616.0,VLASS2.2,1248.3309999999983,SN Ia
ZTF18abtmbaz,58368.829,ZTF18abtmbaz_VLASS1.2v2,58551.0,VLASS1.2v,182.1710000000021,SN Ia
ZTF18abtmbaz,58368.829,ZTF18abtmbaz_VLASS2.2,59530.0,VLASS2.2,1161.171000000002,SN Ia
ZTF18abtmtfy,58375.819,ZTF18abtmtfy_VLASS1.1v2,58044.0,VLASS1.1v,-331.81900000000314,SN Ia
ZTF18abtmtfy,58375.819,ZTF18abtmtfy_VLASS2.1,59111.0,VLASS2.1,735.1809999999969,SN Ia
ZTF18abtmtfy,58375.819,ZTF18abtmtfy_VLASS3.1,59987.0,VLASS3.1,1611.1809999999969,SN Ia
ZTF18abtnlik,58369.629,ZTF18abtnlik_VLASS1.1v2,58005.0,VLASS1.1v,-364.6290000000008,SN Ia
ZTF18abtnlik,58369.629,ZTF18abtnlik_VLASS2.1,59072.0,VLASS2.1,702.3709999999992,SN Ia
ZTF18abtnlik,58369.629,ZTF18abtnlik_VLASS3.1,59999.0,VLASS3.1,1629.3709999999992,SN Ia
ZTF18abtogdl,58372.559,ZTF18abtogdl_VLASS1.1v2,58009.0,VLASS1.1v,-363.5590000000011,SN Ia
ZTF18abtogdl,58372.559,ZTF18abtogdl_VLASS2.1,59063.0,VLASS2.1,690.4409999999989,SN Ia
ZTF18abtogdl,58372.559,ZTF18abtogdl_VLASS3.1,59984.0,VLASS3.1,1611.440999999999,SN Ia
ZTF18abtqevs,58360.789,ZTF18abtqevs_VLASS1.2v2,58636.0,VLASS1.2v,275.2109999999957,SN Ia
ZTF18abtqevs,58360.789,ZTF18abtqevs_VLASS2.2,59505.0,VLASS2.2,1144.2109999999957,SN Ia
ZTF18abtrknw,58357.779,ZTF18abtrknw_VLASS1.1v2,58027.0,VLASS1.1v,-330.77900000000227,SN II
