name,visual_obs_date,name_epoch,vlass_obs_date,epoch,flux,rms,days_diff,type,redshift
ZTF18aabxlsv,58214.559,ZTF18aabxlsv_VLASS1.1v2,58083.0,VLASS1.1v,0.275,0.112,-131.5590000000011,SN Ib,0.048
ZTF18aabxlsv,58214.559,ZTF18aabxlsv_VLASS2.1,59048.0,VLASS2.1,0.444,0.15,833.4409999999989,SN Ib,0.048
ZTF18aabxlsv,58214.559,ZTF18aabxlsv_VLASS3.1,59969.0,VLASS3.1,0.397,0.148,1754.440999999999,SN Ib,0.048
ZTF18aaceepu,59839.889,ZTF18aaceepu_VLASS1.2v2,58641.0,VLASS1.2v,0.352,0.133,-1198.8890000000029,SN Ia,0.04077
ZTF18aaceepu,59839.889,ZTF18aaceepu_VLASS2.2,59563.0,VLASS2.2,0.221,0.106,-276.88900000000285,SN Ia,0.04077
ZTF18aacemcn,58828.889,ZTF18aacemcn_VLASS1.2v2,58641.0,VLASS1.2v,0.275,0.119,-187.88900000000285,SN II,0.038
ZTF18aacemcn,58828.889,ZTF18aacemcn_VLASS2.2,59563.0,VLASS2.2,0.291,0.122,734.1109999999971,SN II,0.038
ZTF18aacnlxz,59170.899,ZTF18aacnlxz_VLASS1.2v2,58607.0,VLASS1.2v,0.296,0.109,-563.8989999999976,SN II,0.07247
ZTF18aacnlxz,59170.899,ZTF18aacnlxz_VLASS2.2,59529.0,VLASS2.2,0.263,0.111,358.1010000000024,SN II,0.07247
ZTF18aadlaxo,59256.529,ZTF18aadlaxo_VLASS1.2v2,58547.0,VLASS1.2v,0.335,0.134,-709.5290000000023,SN Ia,0.05295
ZTF18aadlaxo,59256.529,ZTF18aadlaxo_VLASS2.2,59531.0,VLASS2.2,0.302,0.092,274.47099999999773,SN Ia,0.05295
ZTF18aadmssd,58494.639,ZTF18aadmssd_VLASS1.2v2,58600.0,VLASS1.2v,5.053,0.489,105.36099999999716,SN IIn,0.01885
ZTF18aadmssd,58494.639,ZTF18aadmssd_VLASS2.2,59496.0,VLASS2.2,5.737,0.332,1001.3609999999971,SN IIn,0.01885
ZTF18aadsuxd,59158.869,ZTF18aadsuxd_VLASS1.2v2,58608.0,VLASS1.2v,0.453,0.132,-550.8689999999988,SN II,0.03057
ZTF18aadsuxd,59158.869,ZTF18aadsuxd_VLASS2.2,59551.0,VLASS2.2,0.302,0.105,392.1310000000012,SN II,0.03057
ZTF18aadxnul,59459.849,ZTF18aadxnul_VLASS1.2v2,58600.0,VLASS1.2v,0.438,0.136,-859.849000000002,SN Ia,0.064
ZTF18aadxnul,59459.849,ZTF18aadxnul_VLASS2.2,59496.0,VLASS2.2,0.278,0.12,36.15099999999802,SN Ia,0.064
ZTF18aadzfso,58882.659,ZTF18aadzfso_VLASS1.2v2,58619.0,VLASS1.2v,0.315,0.131,-263.65899999999965,SN Ia,0.05
ZTF18aadzfso,58882.659,ZTF18aadzfso_VLASS2.2,59504.0,VLASS2.2,0.309,0.111,621.3410000000003,SN Ia,0.05
ZTF18aaegvyd,58628.589,ZTF18aaegvyd_VLASS1.2v2,58593.0,VLASS1.2v,0.296,0.131,-35.58899999999994,SN II,0.0235
ZTF18aaegvyd,58628.589,ZTF18aaegvyd_VLASS2.2,59547.0,VLASS2.2,0.254,0.115,918.411,SN II,0.0235
ZTF18aaeipng,59662.559,ZTF18aaeipng_VLASS1.2v2,58610.0,VLASS1.2v,0.41,0.144,-1052.559000000001,SN IIb,0.017
ZTF18aaeipng,59662.559,ZTF18aaeipng_VLASS2.2,59552.0,VLASS2.2,0.416,0.1,-110.5590000000011,SN IIb,0.017
ZTF18aaemivw,58413.919,ZTF18aaemivw_VLASS1.2v2,58606.0,VLASS1.2v,1.008,0.188,192.0809999999983,SN Ia,0.0654
ZTF18aaemivw,58413.919,ZTF18aaemivw_VLASS2.2,59529.0,VLASS2.2,0.639,0.141,1115.0809999999983,SN Ia,0.0654
ZTF18aaeqjmc,60251.839,ZTF18aaeqjmc_VLASS1.2v2,58587.0,VLASS1.2v,0.372,0.135,-1664.839,SN Ia,0.043
ZTF18aaeqjmc,60251.839,ZTF18aaeqjmc_VLASS2.2,59561.0,VLASS2.2,0.318,0.121,-690.8389999999999,SN Ia,0.043
ZTF18aaermez,58504.789,ZTF18aaermez_VLASS1.2v2,58599.0,VLASS1.2v,0.978,0.129,94.21099999999568,SN Ia,0.02284
ZTF18aaermez,58504.789,ZTF18aaermez_VLASS2.2,59554.0,VLASS2.2,0.737,0.161,1049.2109999999957,SN Ia,0.02284
ZTF18aaezzww,60185.889,ZTF18aaezzww_VLASS1.2v2,58586.0,VLASS1.2v,0.395,0.127,-1599.8890000000029,SN Ia,0.02520
ZTF18aaezzww,60185.889,ZTF18aaezzww_VLASS2.2,59562.0,VLASS2.2,0.308,0.118,-623.8890000000029,SN Ia,0.02520
ZTF18aafdigb,60223.869,ZTF18aafdigb_VLASS1.2v2,58592.0,VLASS1.2v,0.304,0.147,-1631.8689999999988,SN Ia,0.063
ZTF18aafdigb,60223.869,ZTF18aafdigb_VLASS2.2,59553.0,VLASS2.2,0.286,0.109,-670.8689999999988,SN Ia,0.063
ZTF18aafpfwr,59461.849,ZTF18aafpfwr_VLASS1.2v2,58571.0,VLASS1.2v,0.545,0.173,-890.849000000002,SN Ia,0.078
ZTF18aafpfwr,59461.849,ZTF18aafpfwr_VLASS2.2,59562.0,VLASS2.2,0.307,0.123,100.15099999999802,SN Ia,0.078
ZTF18aafzers,59238.629,ZTF18aafzers_VLASS1.2v2,58586.0,VLASS1.2v,0.552,0.191,-652.6290000000008,SN Ia-pec,0.04870
ZTF18aafzers,59238.629,ZTF18aafzers_VLASS2.2,59547.0,VLASS2.2,0.335,0.093,308.3709999999992,SN Ia-pec,0.04870
ZTF18aagpzjk,58207.539,ZTF18aagpzjk_VLASS1.2v2,58587.0,VLASS1.2v,0.344,0.123,379.4609999999957,SN II,0.0163
ZTF18aagpzjk,58207.539,ZTF18aagpzjk_VLASS2.2,59538.0,VLASS2.2,0.294,0.107,1330.4609999999957,SN II,0.0163
ZTF18aagrdcs,58207.779,ZTF18aagrdcs_VLASS1.2v2,58587.0,VLASS1.2v,0.441,0.097,379.2209999999978,SN Ib,0.0181
ZTF18aagrdcs,58207.779,ZTF18aagrdcs_VLASS2.2,59532.0,VLASS2.2,0.373,0.106,1324.2209999999975,SN Ib,0.0181
ZTF18aagrtxs,58204.609,ZTF18aagrtxs_VLASS1.1v2,58076.0,VLASS1.1v,0.279,0.125,-128.60900000000402,SN Ia,0.02966
ZTF18aagrtxs,58204.609,ZTF18aagrtxs_VLASS2.1,59062.0,VLASS2.1,0.344,0.147,857.390999999996,SN Ia,0.02966
ZTF18aagrtxs,58204.609,ZTF18aagrtxs_VLASS3.1,59979.0,VLASS3.1,0.321,0.11,1774.390999999996,SN Ia,0.02966
ZTF18aagstdc,58200.739,ZTF18aagstdc_VLASS1.2v2,58570.0,VLASS1.2v,0.265,0.13,369.2609999999986,SN Ia,0.03
ZTF18aagstdc,58200.739,ZTF18aagstdc_VLASS2.2,59495.0,VLASS2.2,0.369,0.133,1294.2609999999986,SN Ia,0.03
ZTF18aagtcxj,58209.829,ZTF18aagtcxj_VLASS1.2v2,58607.0,VLASS1.2v,0.423,0.115,397.1710000000021,SN Ia,0.032
ZTF18aagtcxj,58209.829,ZTF18aagtcxj_VLASS2.2,59532.0,VLASS2.2,0.345,0.134,1322.171000000002,SN Ia,0.032
ZTF18aagtwyh,59374.579,ZTF18aagtwyh_VLASS1.2v2,58563.0,VLASS1.2v,0.403,0.122,-811.5789999999979,SN Ia,0.06604
ZTF18aagtwyh,59374.579,ZTF18aagtwyh_VLASS2.2,59538.0,VLASS2.2,0.236,0.135,163.4210000000021,SN Ia,0.06604
ZTF18aahatvc,58975.659,ZTF18aahatvc_VLASS1.1v2,58028.0,VLASS1.1v,0.313,0.118,-947.6589999999997,SN Ia-91T,0.0778
ZTF18aahatvc,58975.659,ZTF18aahatvc_VLASS2.1,59131.0,VLASS2.1,0.313,0.118,155.34100000000035,SN Ia-91T,0.0778
ZTF18aahatvc,58975.659,ZTF18aahatvc_VLASS3.1,59966.0,VLASS3.1,0.247,0.099,990.3410000000003,SN Ia-91T,0.0778
ZTF18aahesrp,58207.569,ZTF18aahesrp_VLASS1.2v2,58608.0,VLASS1.2v,0.309,0.106,400.43099999999686,SN Ia,0.07
ZTF18aahesrp,58207.569,ZTF18aahesrp_VLASS2.2,59551.0,VLASS2.2,0.29,0.117,1343.4309999999969,SN Ia,0.07
ZTF18aahfbqp,59195.809,ZTF18aahfbqp_VLASS1.2v2,58591.0,VLASS1.2v,0.342,0.147,-604.8090000000011,SN Ia,0.04136
ZTF18aahfbqp,59195.809,ZTF18aahfbqp_VLASS2.2,59549.0,VLASS2.2,0.3,0.118,353.1909999999989,SN Ia,0.04136
ZTF18aahfeiy,58204.589,ZTF18aahfeiy_VLASS1.2v2,58628.0,VLASS1.2v,0.383,0.164,423.41100000000006,SN Ia,0.07124
ZTF18aahfeiy,58204.589,ZTF18aahfeiy_VLASS2.2,59496.0,VLASS2.2,0.297,0.131,1291.411,SN Ia,0.07124
ZTF18aahfgyz,58208.679,ZTF18aahfgyz_VLASS1.2v2,58585.0,VLASS1.2v,0.242,0.103,376.3209999999963,SN Ia-91bg,0.012
ZTF18aahfgyz,58208.679,ZTF18aahfgyz_VLASS2.2,59527.0,VLASS2.2,0.312,0.115,1318.3209999999965,SN Ia-91bg,0.012
ZTF18aahfqbc,58204.609,ZTF18aahfqbc_VLASS1.1v2,58067.0,VLASS1.1v,0.702,0.246,-137.60900000000402,SN II,0.00331
ZTF18aahfqbc,58204.609,ZTF18aahfqbc_VLASS2.1,59111.0,VLASS2.1,0.623,0.187,906.390999999996,SN II,0.00331
ZTF18aahfqbc,58204.609,ZTF18aahfqbc_VLASS3.1,60014.0,VLASS3.1,0.328,0.139,1809.390999999996,SN II,0.00331
ZTF18aahfxnn,58217.629,ZTF18aahfxnn_VLASS1.1v2,58121.0,VLASS1.1v,0.298,0.132,-96.6290000000008,SN Ia,0.08
ZTF18aahfxnn,58217.629,ZTF18aahfxnn_VLASS2.1,59051.0,VLASS2.1,0.308,0.125,833.3709999999992,SN Ia,0.08
ZTF18aahfxnn,58217.629,ZTF18aahfxnn_VLASS3.1,59969.0,VLASS3.1,0.336,0.142,1751.3709999999992,SN Ia,0.08
ZTF18aahfzea,58207.639,ZTF18aahfzea_VLASS1.1v2,58046.0,VLASS1.1v,0.325,0.114,-161.63900000000285,SN Ia,0.024
ZTF18aahfzea,58207.639,ZTF18aahfzea_VLASS2.1,59068.0,VLASS2.1,0.34,0.148,860.3609999999971,SN Ia,0.024
ZTF18aahfzea,58207.639,ZTF18aahfzea_VLASS3.1,59981.0,VLASS3.1,0.306,0.121,1773.3609999999971,SN Ia,0.024
ZTF18aahheaj,58217.649,ZTF18aahheaj_VLASS1.2v2,58585.0,VLASS1.2v,0.303,0.127,367.3510000000024,SN Ia,0.048
ZTF18aahheaj,58217.649,ZTF18aahheaj_VLASS2.2,59535.0,VLASS2.2,0.353,0.138,1317.3510000000024,SN Ia,0.048
ZTF18aahhenr,58212.659,ZTF18aahhenr_VLASS1.1v2,58027.0,VLASS1.1v,0.298,0.131,-185.65899999999965,SN Ia-91T,0.08
ZTF18aahhenr,58212.659,ZTF18aahhenr_VLASS2.1,59098.0,VLASS2.1,0.369,0.14,885.3410000000003,SN Ia-91T,0.08
ZTF18aahhenr,58212.659,ZTF18aahhenr_VLASS3.1,60004.0,VLASS3.1,0.269,0.101,1791.3410000000003,SN Ia-91T,0.08
ZTF18aahhqih,58247.599,ZTF18aahhqih_VLASS1.2v2,58634.0,VLASS1.2v,0.998,0.173,386.400999999998,SN II,0.0142
ZTF18aahhqih,58247.599,ZTF18aahhqih_VLASS2.2,59553.0,VLASS2.2,1.242,0.153,1305.400999999998,SN II,0.0142
ZTF18aahhzqn,58211.629,ZTF18aahhzqn_VLASS1.2v2,58610.0,VLASS1.2v,0.382,0.129,398.3709999999992,SN Ib/c,0.031
ZTF18aahhzqn,58211.629,ZTF18aahhzqn_VLASS2.2,59516.0,VLASS2.2,0.316,0.134,1304.3709999999992,SN Ib/c,0.031
ZTF18aahjafd,58223.569,ZTF18aahjafd_VLASS1.1v2,58021.0,VLASS1.1v,0.287,0.1,-202.56900000000311,SN Ia,0.0359
ZTF18aahjafd,58223.569,ZTF18aahjafd_VLASS2.1,59045.0,VLASS2.1,0.426,0.135,821.4309999999969,SN Ia,0.0359
ZTF18aahjafd,58223.569,ZTF18aahjafd_VLASS3.1,59967.0,VLASS3.1,0.301,0.105,1743.4309999999969,SN Ia,0.0359
ZTF18aahmhxu,58256.609,ZTF18aahmhxu_VLASS1.2v2,58592.0,VLASS1.2v,0.27,0.125,335.390999999996,SLSN-II,0.167
ZTF18aahmhxu,58256.609,ZTF18aahmhxu_VLASS2.2,59539.0,VLASS2.2,0.448,0.128,1282.390999999996,SLSN-II,0.167
ZTF18aahpbwz,58235.529,ZTF18aahpbwz_VLASS1.2v2,58594.0,VLASS1.2v,0.306,0.123,358.47099999999773,SN Ib,0.051
ZTF18aahpbwz,58235.529,ZTF18aahpbwz_VLASS2.2,59539.0,VLASS2.2,0.324,0.1,1303.4709999999975,SN Ib,0.051
ZTF18aahptcq,58214.579,ZTF18aahptcq_VLASS1.2v2,58641.0,VLASS1.2v,0.258,0.114,426.4210000000021,SN Ia,0.0635
ZTF18aahptcq,58214.579,ZTF18aahptcq_VLASS2.2,59497.0,VLASS2.2,0.318,0.129,1282.421000000002,SN Ia,0.0635
ZTF18aahqkbt,58239.539,ZTF18aahqkbt_VLASS1.2v2,58627.0,VLASS1.2v,0.35,0.148,387.4609999999957,TDE,0.051
ZTF18aahqkbt,58239.539,ZTF18aahqkbt_VLASS2.2,59513.0,VLASS2.2,0.338,0.128,1273.4609999999957,TDE,0.051
ZTF18aahqmsr,58221.549,ZTF18aahqmsr_VLASS1.2v2,58638.0,VLASS1.2v,0.621,0.281,416.451000000001,SN Ia,0.085
ZTF18aahqmsr,58221.549,ZTF18aahqmsr_VLASS2.2,59552.0,VLASS2.2,0.423,0.182,1330.451000000001,SN Ia,0.085
ZTF18aahrzkb,59143.869,ZTF18aahrzkb_VLASS1.1v2,58081.0,VLASS1.1v,0.37,0.133,-1062.8689999999988,SN II,0.01055
ZTF18aahrzkb,59143.869,ZTF18aahrzkb_VLASS2.1,59114.0,VLASS2.1,0.47,0.143,-29.868999999998778,SN II,0.01055
ZTF18aahrzkb,59143.869,ZTF18aahrzkb_VLASS3.1,59966.0,VLASS3.1,0.287,0.101,822.1310000000012,SN II,0.01055
ZTF18aahshhp,58903.699,ZTF18aahshhp_VLASS1.1v2,58081.0,VLASS1.1v,0.21,0.096,-822.6990000000005,SN Ia,0.05959
ZTF18aahshhp,58903.699,ZTF18aahshhp_VLASS2.1,59098.0,VLASS2.1,0.325,0.139,194.30099999999948,SN Ia,0.05959
ZTF18aahshhp,58903.699,ZTF18aahshhp_VLASS3.1,59987.0,VLASS3.1,0.395,0.133,1083.3009999999997,SN Ia,0.05959
ZTF18aahtjsc,58565.619,ZTF18aahtjsc_VLASS1.2v2,58609.0,VLASS1.2v,0.368,0.124,43.38100000000122,SN Ia,0.0529
ZTF18aahtjsc,58565.619,ZTF18aahtjsc_VLASS2.2,59553.0,VLASS2.2,0.378,0.115,987.3810000000012,SN Ia,0.0529
ZTF18aahuujv,58672.629,ZTF18aahuujv_VLASS1.1v2,58031.0,VLASS1.1v,0.258,0.108,-641.6290000000008,SN Ic,0.0343
ZTF18aahuujv,58672.629,ZTF18aahuujv_VLASS2.1,59110.0,VLASS2.1,0.439,0.17,437.3709999999992,SN Ic,0.0343
ZTF18aahuujv,58672.629,ZTF18aahuujv_VLASS3.1,59980.0,VLASS3.1,0.256,0.099,1307.3709999999992,SN Ic,0.0343
ZTF18aahvkwq,59947.859,ZTF18aahvkwq_VLASS1.1v2,58082.0,VLASS1.1v,0.252,0.108,-1865.859000000004,SN Ia,0.026
ZTF18aahvkwq,59947.859,ZTF18aahvkwq_VLASS2.1,59131.0,VLASS2.1,0.312,0.116,-816.859000000004,SN Ia,0.026
ZTF18aahvkwq,59947.859,ZTF18aahvkwq_VLASS3.1,59962.0,VLASS3.1,0.277,0.1,14.140999999995984,SN Ia,0.026
ZTF18aahvndq,58981.679,ZTF18aahvndq_VLASS1.1v2,58082.0,VLASS1.1v,0.525,0.126,-899.6790000000037,SN Ia,0.01537
ZTF18aahvndq,58981.679,ZTF18aahvndq_VLASS2.1,59099.0,VLASS2.1,0.427,0.143,117.32099999999627,SN Ia,0.01537
ZTF18aahvndq,58981.679,ZTF18aahvndq_VLASS3.1,59974.0,VLASS3.1,0.266,0.119,992.3209999999964,SN Ia,0.01537
ZTF18aahvpcy,59631.769,ZTF18aahvpcy_VLASS1.1v2,58040.0,VLASS1.1v,0.302,0.119,-1591.7690000000002,SN Ia,0.0607
ZTF18aahvpcy,59631.769,ZTF18aahvpcy_VLASS2.1,59108.0,VLASS2.1,0.333,0.132,-523.7690000000002,SN Ia,0.0607
ZTF18aahvpcy,59631.769,ZTF18aahvpcy_VLASS3.1,60014.0,VLASS3.1,0.344,0.142,382.23099999999977,SN Ia,0.0607
ZTF18aahwhbk,59769.589,ZTF18aahwhbk_VLASS1.1v2,58076.0,VLASS1.1v,0.346,0.089,-1693.589,SN Ia,0.0449
ZTF18aahwhbk,59769.589,ZTF18aahwhbk_VLASS2.1,59062.0,VLASS2.1,0.398,0.139,-707.5889999999999,SN Ia,0.0449
ZTF18aahwhbk,59769.589,ZTF18aahwhbk_VLASS3.1,59979.0,VLASS3.1,0.263,0.096,209.4110000000001,SN Ia,0.0449
ZTF18aaiiigm,58548.629,ZTF18aaiiigm_VLASS1.2v2,58587.0,VLASS1.2v,0.318,0.102,38.370999999999185,SN Ia,0.0782
ZTF18aaiiigm,58548.629,ZTF18aaiiigm_VLASS2.2,59572.0,VLASS2.2,0.334,0.113,1023.3709999999992,SN Ia,0.0782
ZTF18aailmnv,58314.659,ZTF18aailmnv_VLASS1.1v2,58084.0,VLASS1.1v,0.322,0.118,-230.65899999999965,SN Ia,0.08
ZTF18aailmnv,58314.659,ZTF18aailmnv_VLASS2.1,59065.0,VLASS2.1,0.467,0.14,750.3410000000003,SN Ia,0.08
ZTF18aailmnv,58314.659,ZTF18aailmnv_VLASS3.1,59986.0,VLASS3.1,0.265,0.109,1671.3410000000003,SN Ia,0.08
ZTF18aairuad,58217.639,ZTF18aairuad_VLASS1.1v2,58084.0,VLASS1.1v,0.282,0.12,-133.63900000000285,SN Ia,0.064
ZTF18aairuad,58217.639,ZTF18aairuad_VLASS2.1,59084.0,VLASS2.1,0.367,0.13,866.3609999999971,SN Ia,0.064
ZTF18aairuad,58217.639,ZTF18aairuad_VLASS3.1,60003.0,VLASS3.1,0.382,0.13,1785.3609999999971,SN Ia,0.064
ZTF18aaisqmw,59193.889,ZTF18aaisqmw_VLASS1.1v2,58019.0,VLASS1.1v,0.772,0.156,-1174.8890000000029,SN Ia,0.0527
ZTF18aaisqmw,59193.889,ZTF18aaisqmw_VLASS2.1,59063.0,VLASS2.1,0.732,0.187,-130.88900000000285,SN Ia,0.0527
ZTF18aaisqmw,59193.889,ZTF18aaisqmw_VLASS3.1,59984.0,VLASS3.1,0.596,0.127,790.1109999999971,SN Ia,0.0527
ZTF18aaisuxz,59847.909,ZTF18aaisuxz_VLASS1.2v2,58586.0,VLASS1.2v,0.598,0.226,-1261.9089999999997,SN Ia,0.0556
ZTF18aaisuxz,59847.909,ZTF18aaisuxz_VLASS2.2,59547.0,VLASS2.2,0.332,0.12,-300.90899999999965,SN Ia,0.0556
ZTF18aaisybp,58926.679,ZTF18aaisybp_VLASS1.2v2,58561.0,VLASS1.2v,0.345,0.128,-365.6790000000037,SN Ic,0.06231
ZTF18aaisybp,58926.679,ZTF18aaisybp_VLASS2.2,59540.0,VLASS2.2,0.267,0.093,613.3209999999963,SN Ic,0.06231
ZTF18aaisyyp,58245.609,ZTF18aaisyyp_VLASS1.1v2,58098.0,VLASS1.1v,0.312,0.144,-147.60900000000402,SN Ic,0.132
ZTF18aaisyyp,58245.609,ZTF18aaisyyp_VLASS2.1,59093.0,VLASS2.1,0.42,0.162,847.390999999996,SN Ic,0.132
ZTF18aaisyyp,58245.609,ZTF18aaisyyp_VLASS3.1,59990.0,VLASS3.1,0.281,0.138,1744.390999999996,SN Ic,0.132
ZTF18aaivnak,60106.699,ZTF18aaivnak_VLASS1.1v2,58069.0,VLASS1.1v,1.669,0.177,-2037.6990000000003,SN Ia,0.083
ZTF18aaivnak,60106.699,ZTF18aaivnak_VLASS2.1,59114.0,VLASS2.1,2.267,0.267,-992.6990000000004,SN Ia,0.083
ZTF18aaivnak,60106.699,ZTF18aaivnak_VLASS3.1,59962.0,VLASS3.1,2.039,0.261,-144.69900000000052,SN Ia,0.083
ZTF18aaiwewk,59627.769,ZTF18aaiwewk_VLASS1.1v2,58076.0,VLASS1.1v,0.393,0.125,-1551.7690000000002,SN Ia,0.087
ZTF18aaiwewk,59627.769,ZTF18aaiwewk_VLASS2.1,59063.0,VLASS2.1,0.437,0.15,-564.7690000000002,SN Ia,0.087
ZTF18aaiwewk,59627.769,ZTF18aaiwewk_VLASS3.1,59984.0,VLASS3.1,0.294,0.135,356.23099999999977,SN Ia,0.087
ZTF18aaiwzie,59977.879,ZTF18aaiwzie_VLASS1.1v2,58069.0,VLASS1.1v,0.419,0.113,-1908.8790000000008,SN Ia,0.086
ZTF18aaiwzie,59977.879,ZTF18aaiwzie_VLASS2.1,59114.0,VLASS2.1,0.346,0.123,-863.8790000000008,SN Ia,0.086
ZTF18aaiwzie,59977.879,ZTF18aaiwzie_VLASS3.1,59962.0,VLASS3.1,0.31,0.115,-15.879000000000817,SN Ia,0.086
ZTF18aaiykoz,59015.619,ZTF18aaiykoz_VLASS1.2v2,58570.0,VLASS1.2v,1.468,0.473,-445.6189999999988,SN Ia,0.0305
ZTF18aaiykoz,59015.619,ZTF18aaiykoz_VLASS2.2,59495.0,VLASS2.2,0.623,0.166,479.3810000000012,SN Ia,0.0305
